image_id,pred_label
3729.0,0.0
3735.0,0.0
3812.0,1.0
3817.0,1.0
3902.0,0.0
3907.0,1.0
3985.0,1.0
3997.0,1.0
4082.0,0.0
4090.0,0.0
4153.0,0.0
4161.0,0.0
4240.0,0.0
4250.0,0.0
4352.0,0.0
4360.0,1.0
4467.0,0.0
4473.0,0.0
4520.0,0.0
4525.0,0.0
4527.0,0.0
4529.0,0.0
4569.0,0.0
4574.0,0.0
4576.0,0.0
4649.0,0.0
4652.0,0.0
4658.0,1.0
4740.0,1.0
4742.0,1.0
4872.0,1.0
4969.0,0.0
4975.0,0.0
5040.0,0.0
5106.0,0.0
5110.0,0.0
5174.0,1.0
5209.0,0.0
5351.0,1.0
5371.0,1.0
5462.0,1.0
5653.0,1.0
5867.0,1.0
5895.0,0.0
6030.0,0.0
6141.0,0.0
6320.0,0.0
6374.0,1.0
6641.0,1.0
6647.0,0.0
6653.0,0.0
6823.0,1.0
6891.0,1.0
6911.0,1.0
6920.0,1.0
6997.0,0.0
7002.0,0.0
7065.0,1.0
7069.0,1.0
7178.0,1.0
7185.0,0.0
7300.0,0.0
7371.0,0.0
7444.0,1.0
7524.0,1.0
7628.0,0.0
7705.0,1.0
7714.0,0.0
7808.0,0.0
7816.0,0.0
7884.0,0.0
7891.0,1.0
7964.0,1.0
7972.0,1.0
8060.0,0.0
8069.0,0.0
8145.0,1.0
8354.0,1.0
8361.0,0.0
8447.0,0.0
8457.0,1.0
8550.0,0.0
8556.0,0.0
8642.0,0.0
8702.0,0.0
8815.0,0.0
8851.0,0.0
8921.0,0.0
8931.0,0.0
9053.0,0.0
9174.0,0.0
9181.0,1.0
9277.0,1.0
9284.0,0.0
9379.0,1.0
9527.0,0.0
9667.0,0.0
9677.0,0.0
9778.0,1.0
9785.0,1.0
9934.0,1.0
9944.0,0.0
10063.0,0.0
10073.0,0.0
10181.0,0.0
10188.0,0.0
10380.0,1.0
10390.0,1.0
10479.0,0.0
10486.0,0.0
10582.0,0.0
10591.0,0.0
10659.0,0.0
10706.0,1.0
10760.0,1.0
10769.0,1.0
10853.0,0.0
10866.0,0.0
10954.0,0.0
10960.0,1.0
10966.0,1.0
11066.0,1.0
11078.0,1.0
11145.0,1.0
11202.0,1.0
11253.0,1.0
11314.0,1.0
11371.0,1.0
11467.0,0.0
11475.0,1.0
11540.0,0.0
11644.0,1.0
11652.0,1.0
11721.0,0.0
11727.0,1.0
11794.0,0.0
11802.0,0.0
11803.0,0.0
11828.0,1.0
11865.0,1.0
11874.0,1.0
11930.0,0.0
11934.0,0.0
12031.0,0.0
12102.0,1.0
12146.0,1.0
12200.0,1.0
12210.0,1.0
12274.0,0.0
12282.0,1.0
12352.0,1.0
12359.0,1.0
12411.0,0.0
12418.0,1.0
12503.0,0.0
12597.0,0.0
12672.0,0.0
12878.0,1.0
12885.0,0.0
12920.0,0.0
12930.0,0.0
13018.0,1.0
13025.0,1.0
13067.0,1.0
13068.0,1.0
13075.0,0.0
13215.0,1.0
13404.0,0.0
13406.0,0.0
13570.0,1.0
13580.0,0.0
13710.0,1.0
13773.0,0.0
13836.0,1.0
13843.0,0.0
13989.0,0.0
14086.0,1.0
14089.0,1.0
14267.0,0.0
14383.0,0.0
14517.0,1.0
14622.0,0.0
14627.0,0.0
14752.0,1.0
14756.0,1.0
14826.0,0.0
14834.0,1.0
14926.0,1.0
14934.0,1.0
15015.0,1.0
15024.0,1.0
15087.0,0.0
15094.0,1.0
15225.0,0.0
15234.0,0.0
15296.0,0.0
15303.0,1.0
15392.0,0.0
15403.0,0.0
15456.0,0.0
15464.0,0.0
15499.0,1.0
15508.0,0.0
15571.0,1.0
15643.0,0.0
15718.0,0.0
15776.0,0.0
15786.0,0.0
15885.0,1.0
15889.0,1.0
15958.0,0.0
15963.0,0.0
15964.0,0.0
16065.0,0.0
16076.0,0.0
16201.0,1.0
16281.0,1.0
16344.0,1.0
16410.0,1.0
16440.0,0.0
16448.0,0.0
16518.0,0.0
16527.0,0.0
16616.0,1.0
16620.0,1.0
16778.0,1.0
16788.0,1.0
16861.0,0.0
16871.0,0.0
16944.0,1.0
16951.0,0.0
17051.0,0.0
17061.0,0.0
17150.0,0.0
17157.0,0.0
17270.0,1.0
17350.0,1.0
17440.0,1.0
17509.0,0.0
17595.0,0.0
