image_id,face_idx,gender,age,male_score,female_score
12213,0,Female,26,76.909,82.901
12218,0,Female,23,81.759,83.404
12221,0,Female,24,80.28,78.88
12225,0,Female,24,77.16,78.116
12405,0,Male,27,65.384,67.485
12505,0,Male,18,85.015,88.804
12571,0,Female,22,58.769,62.394
12745,0,Female,24,60.804,61.706
12751,0,Female,27,65.99,67.316
12752,0,Male,15,67.111,67.679
12765,0,Female,21,83.24,81.966
12787,0,Female,24,61.219,63.404
12792,0,Male,19,69.313,69.615
12792,1,Female,22,74.254,74.922
12800,0,Male,27,77.706,78.668
12800,1,Female,22,79.86,80.148
12801,0,Male,27,83.313,84.112
12801,1,Female,20,72.905,77.859
12802,0,Female,26,85.179,86.751
12806,0,Female,26,86.433,85.905
12824,0,Female,29,73.912,76.074
12826,0,Female,19,78.262,81.639
12827,0,Female,21,62.788,65.467
12827,1,Male,15,69.727,69.23
13068,0,Male,23,84.561,85.992
13068,1,Female,22,73.617,80.45
13069,0,Male,25,78.854,80.021
13069,1,Female,21,90.752,90.677
13115,0,Female,4,58.719,61.662
13115,1,Female,16,76.484,77.869
13124,0,Female,24,81.016,82.85
13140,0,Female,36,59.432,59.204
13310,0,Female,6,61.563,57.453
13311,0,Female,6,61.563,57.453
13347,0,Female,27,79.783,76.755
13405,0,Male,18,61.11,69.387
13421,0,Female,19,60.574,61.664
13422,0,Female,24,67.936,68.056
13474,0,Female,22,70.065,68.335
13485,0,Female,23,72.643,75.283
13679,0,Male,24,76.6,76.178
13715,0,Male,24,75.819,77.34
13715,1,Female,18,85.842,89.175
13738,0,Male,26,75.416,78.721
13741,0,Female,23,64.48,66.474
13749,0,Male,33,89.599,88.755
13756,0,Male,29,82.816,85.227
13760,0,Male,29,88.663,89.927
13779,0,Female,20,85.702,86.74
13782,0,Female,24,78.565,79.148
13785,0,Female,21,71.104,75.132
13789,0,Female,22,63.399,61.37
13796,0,Female,22,75.507,77.841
13797,0,Female,20,86.052,88.786
13804,0,Female,18,85.171,86.129
13824,0,Female,31,64.056,65.38
13880,0,Female,30,70.869,75.522
13882,0,Male,16,63.26,63.445
13883,0,Male,19,73.606,75.891
13890,0,Male,22,78.053,77.191
13893,0,Male,26,78.956,82.366
13901,0,Female,24,77.702,75.866
13917,0,Male,20,82.445,83.397
13982,0,Female,34,54.758,53.488
13984,0,Female,32,53.56,55.398
13985,0,Female,32,49.621,51.676
