image_id,face_idx,race,gender,age_group,race_scores,gender_scores,age_scores
308,face0,Asian,Female,50-59,[0.02232441 0.01384958 0.9414276  0.02239835],[0.39217335 0.60782665],"[6.1450317e-10 2.2644807e-01 5.1952065e-06 3.9302741e-08 2.3334414e-05
 8.6848401e-02 6.6814357e-01 1.8352859e-02 1.7856578e-04]"
344,face0,Asian,Female,50-59,[2.7930285e-03 7.5632342e-05 9.9675149e-01 3.7982801e-04],[0.3649075 0.6350925],"[6.8616435e-10 6.0494604e-05 1.3758294e-01 7.4933555e-06 3.2145365e-03
 2.2288564e-01 6.2298077e-01 1.3186439e-02 8.1667102e-05]"
361,face0,White,Female,10-19,[9.9995375e-01 1.6147711e-05 3.7524139e-06 2.6337477e-05],[0.3024748 0.6975252],"[8.9914499e-12 1.0840641e-05 4.7287056e-01 1.7018985e-08 2.3093824e-05
 3.7288513e-02 4.2567587e-01 6.3494809e-02 6.3634978e-04]"
484,face0,Asian,Female,30-39,[9.4107473e-03 5.4377988e-06 9.8866636e-01 1.9174858e-03],[0.34441632 0.6555837 ],"[3.6198752e-10 3.1820233e-05 1.7187329e-01 1.3300330e-02 8.0908322e-01
 5.1547773e-03 4.7408941e-04 5.6145229e-05 2.6220714e-05]"
487,face0,Asian,Female,50-59,[1.1863646e-02 2.1993688e-04 9.8392969e-01 3.9867484e-03],[0.33253008 0.6674699 ],"[6.1638854e-09 5.1637385e-03 8.2169840e-04 1.2400567e-06 1.4911314e-03
 4.4983506e-01 5.2786869e-01 1.4655650e-02 1.6274072e-04]"
686,face0,White,Female,50-59,[9.9894720e-01 7.3361729e-04 8.9106528e-05 2.3009125e-04],[0.23090807 0.7690919 ],"[1.6072853e-11 8.5318234e-06 1.5575622e-01 7.3070389e-08 3.6231559e-05
 3.8150866e-02 7.5105232e-01 5.4792587e-02 2.0320329e-04]"
1109,face0,White,Male,50-59,[9.9955666e-01 4.6037426e-06 3.7129529e-04 6.7419569e-05],[0.5273976 0.4726024],"[1.3829852e-09 1.2849538e-01 3.0189886e-04 7.8491234e-07 2.4513196e-05
 4.2940158e-02 7.0385784e-01 1.1979824e-01 4.5811269e-03]"
1329,face0,Black,Female,50-59,[6.9243320e-06 9.9968880e-01 3.2652955e-05 2.7158819e-04],[0.41393098 0.586069  ],"[8.0812335e-10 4.5505032e-02 1.7264893e-03 5.1061380e-07 1.4515822e-04
 5.3328834e-02 7.7704734e-01 1.1746340e-01 4.7831982e-03]"
1346,face0,Black,Female,50-59,[3.3903427e-05 9.9963289e-01 2.3810682e-05 3.0941065e-04],[0.3448381 0.655162 ],"[6.1901764e-09 1.1701771e-01 2.3625654e-03 2.9602766e-06 1.4681078e-05
 3.0250449e-03 4.3036273e-01 3.8385105e-01 6.3363254e-02]"
1356,face0,Black,Female,40-49,[1.2128361e-04 9.0961975e-01 2.0205650e-04 9.0056956e-02],[0.33876443 0.6612356 ],"[8.0462454e-09 6.4579718e-02 2.4078614e-03 6.8577010e-06 8.0627892e-03
 4.5732805e-01 4.3809709e-01 2.8173089e-02 1.3445335e-03]"
1515,face0,Asian,Male,50-59,[0.22804672 0.00135746 0.7506733  0.01992251],[0.57205987 0.4279401 ],"[7.7151441e-09 7.9527229e-02 1.6851431e-04 1.9371829e-07 2.8706713e-06
 7.7820155e-03 5.7074010e-01 3.3110988e-01 1.0669191e-02]"
1528,face0,Asian,Male,3-9,[3.1090630e-03 3.9921732e-05 9.9297315e-01 3.8778842e-03],[0.5264538 0.4735462],"[1.74160700e-10 7.28887677e-01 1.87906107e-06 4.03795042e-08
 1.29442415e-05 2.57817078e-02 2.21480384e-01 2.34818123e-02
 3.53556621e-04]"
